oracle_id,lo_cents,lo_printing,lo_finish,hi_cents,hi_printing,hi_finish
00b940e9-0000-4000-8000-oraclebroken,1100,11e00214-0000-4000-8000-printbrokens,0,15588,41f2521a-0000-4000-8000-printbrokens,0
03cbe4cf-0000-4000-8000-oraclehollow,44,3ae5f613-0000-4000-8000-printhollowk,0,383,c59cb900-0000-4000-8000-printhollowk,0
04ef795e-0000-4000-8000-oracleskyfar,3723,0e211c81-0000-4000-8000-printskyfare,0,9289,4173690b-0000-4000-8000-printskyfare,1
04f89e4d-0000-4000-8000-oracleironro,970,74268ff4-0000-4000-8000-printironroo,0,4461,2ca1aeac-0000-4000-8000-printironroo,1
055941ea-0000-4000-8000-oraclethornw,648,8c7778c3-0000-4000-8000-printthornwe,0,4849,344ea162-0000-4000-8000-printthornwe,1
061b47b9-0000-4000-8000-oraclestarli,2763,3597d7a7-0000-4000-8000-printstarlit,0,28106,f9552346-0000-4000-8000-printstarlit,0
0694b227-0000-4000-8000-oraclesablef,1779,93d8645b-0000-4000-8000-printsablefo,0,9718,4c538313-0000-4000-8000-printsablefo,1
06c5d6e1-0000-4000-8000-oraclemoxies,1213,c8bca723-0000-4000-8000-printmoxiesh,0,673705,af9ccb4e-0000-4000-8000-printmoxiesh,0
0743997e-0000-4000-8000-oraclewildsp,24,d913a8ac-0000-4000-8000-printwildspr,0,545,54344ae5-0000-4000-8000-printwildspr,0
076e2c76-0000-4000-8000-oraclestormt,2486,6ad471ab-0000-4000-8000-printstormto,0,20892,c839dde8-0000-4000-8000-printstormto,1
07fa5b18-0000-4000-8000-oraclestarli,37,621a1213-0000-4000-8000-printstarlit,0,1653,7d891955-0000-4000-8000-printstarlit,0
09288d92-0000-4000-8000-oracleraveno,1657,52473d3e-0000-4000-8000-printravenou,0,24897,c5df1bdd-0000-4000-8000-printravenou,0
092f1016-0000-4000-8000-oracleraveno,107,84eb4b0a-0000-4000-8000-printravenou,0,982,6014c036-0000-4000-8000-printravenou,1
0b6d4ba9-0000-4000-8000-oraclewildsp,41,e3d5b0d5-0000-4000-8000-printwildspr,0,127,61992e35-0000-4000-8000-printwildspr,1
