oracle_id,lo_cents,lo_printing,lo_finish,hi_cents,hi_printing,hi_finish
00b940e9-0000-4000-8000-oraclebroken,1112,11e00214-0000-4000-8000-printbrokens,0,15632,41f2521a-0000-4000-8000-printbrokens,0
03cbe4cf-0000-4000-8000-oraclehollow,45,3ae5f613-0000-4000-8000-printhollowk,0,380,c59cb900-0000-4000-8000-printhollowk,0
04ef795e-0000-4000-8000-oracleskyfar,3754,0e211c81-0000-4000-8000-printskyfare,0,15099,4173690b-0000-4000-8000-printskyfare,2
04f89e4d-0000-4000-8000-oracleironro,965,74268ff4-0000-4000-8000-printironroo,0,4422,2ca1aeac-0000-4000-8000-printironroo,1
055941ea-0000-4000-8000-oraclethornw,639,8c7778c3-0000-4000-8000-printthornwe,0,4793,344ea162-0000-4000-8000-printthornwe,1
061b47b9-0000-4000-8000-oraclestarli,2747,3597d7a7-0000-4000-8000-printstarlit,0,27923,f9552346-0000-4000-8000-printstarlit,0
0694b227-0000-4000-8000-oraclesablef,1770,93d8645b-0000-4000-8000-printsablefo,0,9778,4c538313-0000-4000-8000-printsablefo,1
06c5d6e1-0000-4000-8000-oraclemoxies,1200,c8bca723-0000-4000-8000-printmoxiesh,0,680000,af9ccb4e-0000-4000-8000-printmoxiesh,0
0743997e-0000-4000-8000-oraclewildsp,24,d913a8ac-0000-4000-8000-printwildspr,0,552,54344ae5-0000-4000-8000-printwildspr,0
076e2c76-0000-4000-8000-oraclestormt,2463,6ad471ab-0000-4000-8000-printstormto,0,20656,c839dde8-0000-4000-8000-printstormto,1
07fa5b18-0000-4000-8000-oraclestarli,37,621a1213-0000-4000-8000-printstarlit,0,1657,7d891955-0000-4000-8000-printstarlit,0
09288d92-0000-4000-8000-oracleraveno,1651,52473d3e-0000-4000-8000-printravenou,0,24698,c5df1bdd-0000-4000-8000-printravenou,0
092f1016-0000-4000-8000-oracleraveno,108,84eb4b0a-0000-4000-8000-printravenou,0,974,6014c036-0000-4000-8000-printravenou,1
0b6d4ba9-0000-4000-8000-oraclewildsp,41,e3d5b0d5-0000-4000-8000-printwildspr,0,132,61992e35-0000-4000-8000-printwildspr,2
0cdcfdc4-0000-4000-8000-oraclebroken,2510,ade69f98-0000-4000-8000-printbrokens,0,8796,ade69f98-0000-4000-8000-printbrokens,2
0e09afa7-0000-4000-8000-oracledorand,13750,5405b659-0000-4000-8000-printdorandu,0,50548,875802e3-0000-4000-8000-printdorandu,2
0e582c85-0000-4000-8000-oraclemurkwa,17326,74cb59b8-0000-4000-8000-printmurkwat,0,97821,d1943027-0000-4000-8000-printmurkwat,1
0f40a4c3-0000-4000-8000-oracledorant,3359,d8ab837c-0000-4000-8000-printdoranth,0,18675,8a107b11-0000-4000-8000-printdoranth,1
0f7c8f65-0000-4000-8000-oraclehollow,31,30acc0e7-0000-4000-8000-printhollowr,0,404,c33edd42-0000-4000-8000-printhollowr,1
118e6caa-0000-4000-8000-oraclehollow,2486,254e09f8-0000-4000-8000-printhollows,0,8972,ddc928b0-0000-4000-8000-printhollows,1
